BID,Certified,Enhanced IAQ Strategies,Thermal Comfort,IAQ Performance,Low-emitting Materials,IAQ Assessment,Acoustic Performance,Low-emitting Materials,Green Cleaning,Integrated Pest Management,Interior Lighting,Daylighting,Views,Mold Prevention,ETS Control,Occupant Surveys
5,FALSE,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25%,25%,25%,25%,25%,25%,25%
6,TRUE,25.0%,33.3%,50.0%,100.0%,0.0%,0.0%,100.0%,0.0%,0%,0%,0%,0%,0%,100%,0%
7,FALSE,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%
8,TRUE,100.0%,0.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100%,100%,50%,50%,0%,100%,0%
9,FALSE,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%
10,TRUE,66.7%,0.0%,50.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100%,100%,100%,100%,0%,100%,100%
