BID,day,date,enhanced_iaq,tc,iaq_perf,low_emit_air,iaq_assess,acoustic,low_emit_dirt,green_clean,ipm,int_lighting,daylight,views,mold,ets,surveys,baseline,aer_score,tc_score,humidity_score,noise_score,steps_score,sleep_score,rt_score,overall_score,co2,aer,temp,rh,sh,noise,pmv,ppd,steps,sleep,num_sensors
9,1,2016-02-01,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,10.50,0.70,0.59,1.00,0.45,0.75,0.95,14.80,25.30,634.06,0.70,22.64,29.38,5.05,55.97,-0.44,11.08,7.53,0.95,7
9,2,2016-02-02,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,10.50,0.66,0.74,1.00,0.46,0.54,0.92,15.13,25.63,678.95,0.66,23.08,29.76,5.26,55.73,-0.32,8.83,5.45,0.92,10
9,3,2016-02-03,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,10.50,0.81,0.63,1.00,0.43,0.56,0.86,15.25,25.75,631.53,0.81,22.69,35.20,6.07,56.33,-0.39,10.52,5.63,0.86,6
9,4,2016-02-04,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,10.50,0.31,0.78,1.00,0.49,0.41,0.95,12.78,23.28,711.16,0.31,23.14,30.42,5.39,55.25,-0.30,8.36,4.05,0.95,5
9,5,2016-02-05,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,10.50,999,0.51,1.00,0.37,0.16,0.25,7.02,17.52,675.20,999,22.25,29.61,4.99,57.52,-0.55,12.33,1.57,0.25,3
10,1,2015-12-14,0.67,0.00,0.50,1.00,0.00,0.25,1.00,1.00,1.00,1.00,1.00,1.00,0.25,1.00,1.00,29.00,0.21,0.89,1.00,0.60,0.52,0.85,13.23,42.23,788.10,0.21,23.13,36.23,6.44,52.93,-0.26,6.66,5.20,0.85,10
10,2,2015-12-15,0.67,0.00,0.50,1.00,0.00,0.25,1.00,1.00,1.00,1.00,1.00,1.00,0.25,1.00,1.00,29.00,0.36,0.85,1.00,0.52,0.45,0.84,13.63,42.63,823.47,0.36,23.81,28.47,5.26,54.56,-0.13,7.21,4.52,0.84,10
10,3,2015-12-16,0.67,0.00,0.50,1.00,0.00,0.25,1.00,1.00,1.00,1.00,1.00,1.00,0.25,1.00,1.00,29.00,0.34,0.87,1.00,0.55,0.58,0.87,14.02,43.02,771.42,0.34,23.95,25.66,4.78,53.91,-0.11,6.91,5.79,0.87,10
10,4,2015-12-17,0.67,0.00,0.50,1.00,0.00,0.25,1.00,1.00,1.00,1.00,1.00,1.00,0.25,1.00,1.00,29.00,0.51,0.93,1.00,0.54,0.53,0.69,15.13,44.13,742.61,0.51,23.65,26.51,4.85,54.11,-0.19,6.07,5.26,0.69,9
10,5,2015-12-18,0.67,0.00,0.50,1.00,0.00,0.25,1.00,1.00,1.00,1.00,1.00,1.00,0.25,1.00,1.00,29.00,0.49,0.85,1.00,0.34,0.45,0.25,13.32,42.32,651.26,0.49,23.30,28.91,5.18,58.19,-0.27,7.18,4.51,0.25,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
